Estacion;Dia_semana;Condicion;Temperatura;Sensacion;Humedad;Velocidad_viento;BiciRentadas;Parte_dia
Invierno;6;Despejado;3.28;30.014;0.81;0;16;Noche
Invierno;6;Despejado;2.34;19.982;0.8;0;40;Noche
Invierno;6;Despejado;2.34;19.982;0.8;0;32;Noche
Invierno;6;Despejado;3.28;30.014;0.75;0;13;Noche
Invierno;6;Despejado;3.28;30.014;0.75;0;1;Noche
Invierno;6;Niebla;3.28;10.016;0.75;60.032;1;Mañana
Invierno;6;Despejado;2.34;19.982;0.8;0;2;Mañana
Invierno;6;Despejado;1.4;10.016;0.86;0;3;Mañana
Invierno;6;Despejado;3.28;30.014;0.75;0;8;Mañana
Invierno;6;Despejado;7.04;7.001;0.76;0;14;Mañana
Invierno;6;Despejado;9.86;99.974;0.76;169.979;36;Mañana
Invierno;6;Despejado;8.92;59.978;0.81;190.012;56;Mañana
Invierno;6;Despejado;11.74;119.972;0.77;190.012;84;Mañana
Invierno;6;Niebla;13.62;13.997;0.72;199.995;94;Tarde
Invierno;6;Niebla;13.62;13.997;0.72;190.012;106;Tarde
Invierno;6;Niebla;12.68;130.004;0.77;199.995;110;Tarde
Invierno;6;Niebla;11.74;119.972;0.82;199.995;93;Tarde
Invierno;6;Niebla;12.68;130.004;0.82;190.012;67;Tarde
Invierno;6;Lluvia Leve;11.74;119.972;0.88;169.979;35;Tarde
Invierno;6;Lluvia Leve;11.74;119.972;0.88;169.979;37;Tarde
Invierno;6;Niebla;10.8;110.006;0.87;169.979;36;Noche
Invierno;6;Niebla;10.8;110.006;0.87;12.998;34;Noche
Invierno;6;Niebla;10.8;110.006;0.94;150.013;28;Noche
Invierno;6;Niebla;13.62;13.997;0.88;199.995;39;Noche
Invierno;0;Niebla;13.62;13.997;0.88;199.995;17;Noche
Invierno;0;Niebla;12.68;130.004;0.94;169.979;17;Noche
Invierno;0;Niebla;11.74;119.972;1;190.012;9;Noche
Invierno;0;Niebla;13.62;13.997;0.94;12.998;6;Noche
Invierno;0;Niebla;13.62;13.997;0.94;12.998;3;Noche
Invierno;0;Lluvia Leve;11.74;119.972;0.77;199.995;2;Mañana
Invierno;0;Niebla;10.8;110.006;0.76;12.998;1;Mañana
Invierno;0;;10.8;110.006;0.71;150.013;8;Mañana
Invierno;0;Niebla;9.86;99.974;0.76;150.013;20;Mañana
Invierno;0;Niebla;8.92;7.001;0.81;150.013;53;Mañana
Invierno;0;Niebla;8.92;59.978;0.71;169.979;70;Mañana
Invierno;0;Niebla;8.92;59.978;0.66;199.995;93;Mañana
Invierno;0;Niebla;8.92;7.001;0.66;89.981;75;Tarde
Invierno;0;Lluvia Leve;8.92;7.001;0.76;12.998;59;Tarde
Invierno;0;Lluvia Leve;7.98;59.978;0.81;110.014;74;Tarde
Invierno;0;Lluvia Leve;7.98;59.978;0.71;110.014;76;Tarde
Invierno;0;Despejado;7.98;59.978;0.57;12.998;65;Tarde
Invierno;0;Niebla;8.92;59.978;0.46;220.028;53;Tarde
Invierno;0;Despejado;7.04;30.014;0.42;300.026;30;Tarde
Invierno;0;Despejado;6.1;19.982;0.39;239.994;22;Noche
Invierno;0;Despejado;4.22;-0.9982;0.44;220.028;31;Noche
Invierno;0;Despejado;3.28;-20.014;0.44;199.995;9;Noche
Invierno;0;Despejado;2.34;-0.9982;0.47;110.014;8;Noche
Invierno;1;Despejado;2.34;-2.998;0.44;239.994;5;Noche
Invierno;1;Despejado;1.4;-49.978;0.44;279.993;2;Noche
Invierno;1;Despejado;-0.48;-69.976;0.47;260.027;1;Noche
Invierno;1;Despejado;-0.48;-69.976;0.47;190.012;3;Mañana
Invierno;1;Despejado;-1.42;-89.974;0.5;260.027;30;Mañana
Invierno;1;Despejado;-1.42;-69.976;0.5;12.998;64;Mañana
Invierno;1;Despejado;-1.42;-80.008;0.5;190.012;154;Mañana
Invierno;1;Despejado;-0.48;-69.976;0.43;260.027;88;Mañana
Invierno;1;Despejado;0.46;-49.978;0.43;169.979;44;Mañana
Invierno;1;Despejado;1.4;-40.012;0.4;;51;Mañana
Invierno;1;Despejado;2.34;-20.014;0.35;199.995;61;Mañana
Invierno;1;Despejado;3.28;-20.014;0.35;190.012;61;Tarde
Invierno;1;Despejado;4.22;-0.0016;0.3;190.012;77;Tarde
Invierno;1;Despejado;4.22;-0.0016;0.3;169.979;72;Tarde
Invierno;1;Despejado;4.22;-0.0016;0.3;169.979;76;Tarde
Invierno;1;Despejado;3.28;-0.9982;0.3;150.013;157;Tarde
Invierno;1;Despejado;3.28;10.016;0.32;70.015;157;Tarde
Invierno;1;Despejado;1.4;10.016;0.47;0;110;Tarde
Invierno;1;Despejado;1.4;-0.9982;0.47;70.015;52;Noche
Invierno;1;Despejado;0.46;-2.998;0.64;89.981;52;Noche
Invierno;1;Despejado;-1.42;-6.001;0.69;89.981;20;Noche
Invierno;1;Despejado;0.46;-20.014;0.55;70.015;12;Noche
Invierno;2;Despejado;-0.48;-40.012;0.55;70.015;5;Noche
Invierno;2;Despejado;-0.48;-40.012;0.59;70.015;2;Noche
Invierno;2;Despejado;-1.42;-6.001;0.63;89.981;1;Noche
Invierno;2;Despejado;-1.42;-40.012;0.63;60.032;2;Noche
Invierno;2;Despejado;-2.36;-6.001;0.68;70.015;4;Mañana
Invierno;2;Despejado;-2.36;-6.001;0.74;70.015;36;Madrugada
Invierno;2;Despejado;-2.36;-6.001;0.74;89.981;94;Mañana
Invierno;2;Despejado;-1.42;-6.001;0.69;110.014;179;Mañana
Invierno;2;Despejado;-0.48;-6.001;0.64;150.013;100;Mañana
Invierno;2;;-0.48;-69.976;0.69;220.028;42;Mañana
Invierno;2;Despejado;2.34;-20.014;0.51;199.995;57;Mañana
Invierno;2;Despejado;2.34;-0.9982;0.51;110.014;78;Mañana
Invierno;2;Despejado;3.28;-0.9982;0.56;12.998;97;Tarde
Invierno;2;Despejado;4.22;10.016;0.52;150.013;63;Tarde
Invierno;2;Despejado;5.16;19.982;0.52;169.979;65;Tarde
Invierno;2;Despejado;6.1;30.014;0.49;169.979;83;Tarde
Invierno;2;Despejado;5.16;19.982;0.48;150.013;212;Tarde
Invierno;2;Despejado;4.22;10.016;0.48;12.998;182;Tarde
Invierno;2;Despejado;3.28;10.016;0.48;70.015;112;Tarde
Invierno;2;Despejado;3.28;10.016;0.48;70.015;54;Noche
Invierno;2;Despejado;2.34;19.982;0.64;0;48;Noche
Invierno;2;Despejado;2.34;10.016;0.64;60.032;35;Noche
Invierno;2;Despejado;1.4;-0.9982;0.69;60.032;11;Noche
Invierno;3;Despejado;1.4;10.016;0.64;0;6;Noche
Invierno;3;Despejado;-0.48;-2.998;0.74;60.032;6;Noche
Invierno;3;Despejado;-0.48;-2.998;0.74;60.032;2;Noche
Invierno;3;Despejado;3.28;-0.9982;0.48;150.013;2;Noche
Invierno;3;Despejado;2.34;-0.9982;0.47;110.014;3;Mañana
